NLCD_Class,Slope_Min,Slope_Max
11,0,72
12,0,79
21,0,67
22,0,64
23,0,55
24,0,57
31,0,80
41,0,69
42,0,79
43,0,70
52,0,83
71,0,80
81,0,30
82,0,39
90,0,51
95,0,76
